race;pctWInvInc;pctWPubAsst;NumUnderPov;PctPopUnderPov;PctUnemployed;MalePctDivorce;FemalePctDiv;TotalPctDiv;PersPerFam;PctKids2Par;PctYoungKids2Par;PctTeen2Par;NumIlleg;PctIlleg;PctPersOwnOccup;HousVacant;PctHousOwnOcc;PctVacantBoarded;NumInShelters;NumStreet;crime
low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;high;low;high;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low;low
low;low;high;low;low;high;high;high;high;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;high;low;low;low;low;low;low;low;low;low;low;low;low;high;low;low;low
high;low;low;low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low
low;low;high;low;low;high;low;low;low;high;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;high;low;low;low;low;low;low;low;low;low
low;low;high;low;low;low;high;high;high;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;high;high;low;low;low;high;low;high;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;high;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;high;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
high;low;high;low;low;low;high;high;high;low;low;low;low;low;high;low;low;low;high;low;low;high
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;high;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
low;low;low;low;high;low;low;low;low;high;high;high;high;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;high;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;high;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;high;low;high;low;low;low;low;low;low;low;low;low;low;high;high;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;high;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;low;low;low;low;low
low;low;low;low;high;low;low;low;low;low;high;high;low;low;low;low;low;low;low;low;low;low
low;high;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
low;low;low;low;low;low;low;low;low;high;high;high;high;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;low;low;low;low;low
low;high;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
low;low;low;low;low;low;high;high;high;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
high;low;low;low;low;low;high;high;high;low;low;low;low;low;high;low;low;low;low;low;low;high
low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;high;low;high;high;low;low;low;high;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;high;low;low;low;low;low;high;high;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
high;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;high;high;high;low;low;high;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;high;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;high
low;high;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;low;high;low;low;high;low;high;low;low;low;low
high;low;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;high;high;high;high;low;low;high;low;high;low;low;low;low
low;high;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;high;low;high;high;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;high;high;high;low;low;low;high;low;high;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
low;high;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;high;high;low;low;low;low;low;low;low;low;low;low;low;low;low
low;high;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;low;high;low;low;low;low;low;low;low;low;low
low;low;high;low;high;high;low;low;low;high;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;high
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;high
low;low;high;high;low;low;low;low;low;low;low;low;low;high;high;low;high;low;high;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;high;low;high;high;low;low;low;low;low;low;low;low;low
low;low;high;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;high;low;high;high;low;low;low;high;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low
low;low;high;low;low;high;high;high;high;low;low;low;low;low;low;low;low;low;low;low;low;low
high;low;low;low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low
low;high;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low;low
high;low;low;low;high;high;high;high;high;low;low;low;low;low;high;low;low;low;low;low;low;high
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
high;low;high;high;low;low;high;high;high;low;low;low;low;high;high;low;high;low;high;low;high;high
low;low;low;low;low;low;low;low;low;low;high;high;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;high;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;high;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;high;low;low;low;low;low;low;low;low;low
high;low;low;low;low;high;low;low;high;low;low;low;low;low;low;low;low;low;low;low;low;high
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;high;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;high;high;high;low;low;low;low;low;low;low;low;low;high;low;low;low
low;high;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
low;low;low;low;low;low;high;high;high;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;high
low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low;high
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;high;low
low;low;low;low;low;low;low;low;low;low;high;high;high;low;low;low;low;low;low;low;low;low
low;low;high;low;low;low;high;high;high;low;low;low;low;low;low;low;low;low;low;high;low;low
low;high;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;low;low;low;low;low
high;low;low;low;high;low;low;low;high;low;low;low;low;low;high;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;high;low;low;low;low;low;low;low;low;high;high;high;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;high;high;high;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;high;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;high;high;high;low;low;low;low;low;low;low;low;low;low;low;low;high
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
high;low;low;low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;high
low;high;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
low;high;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;low;low;low;low;low
high;low;high;low;high;low;low;high;high;low;low;low;low;low;high;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;high;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;high;high;high;high;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;high;low;high;low;low;low;low
low;low;low;low;high;low;high;high;high;low;low;low;low;low;high;low;low;low;low;low;low;high
low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
high;low;low;low;low;high;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low
low;high;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
low;low;high;low;low;high;low;low;low;high;low;high;low;low;low;low;low;low;low;low;low;high
low;low;low;low;low;low;low;low;low;low;high;high;low;low;low;high;low;low;low;low;low;low
low;low;low;low;low;low;high;high;high;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;high;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low
low;high;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;high;low;high;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;high;high;high;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;high;high;high;high;low;low;high;low;high;low;low;low;low
low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low;low;low;low;high
low;low;low;low;low;low;high;low;high;low;low;low;low;low;low;low;low;low;low;low;low;low
high;low;high;low;low;low;high;low;high;low;low;low;low;low;high;low;low;low;low;low;low;low
low;low;low;low;low;high;high;low;high;low;low;low;high;low;low;low;low;low;low;low;low;low
low;low;high;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;high;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;high;low;high;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;high;high;high;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;high;high;low;low;high;low;low;low;low;low;low;low;low;low;low
low;high;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
low;low;low;high;low;low;low;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;high;high;high;low;low;low;low;low;low;low;low;low;low;low;low;low
low;low;low;low;low;low;low;low;low;low;high;high;low;low;low;high;low;high;low;low;low;low
low;high;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
high;low;high;low;high;low;low;low;low;low;low;low;low;low;high;low;low;low;low;low;low;low
low;high;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
low;high;low;low;low;low;low;low;low;low;high;high;high;low;low;high;low;high;low;low;low;low
